name;kpi_1;kpi_2;kpi_3;kpi_4;kpi_5;kpi_6;kpi_7;kpi_8;kpi_9;kpi_10;kpi_11;kpi_12;kpi_13;kpi_14;kpi_15;kpi_16;kpi_17;label;DPA_obj;DPA_time;LV_obj;LV_time;DS_obj;DS_time;G_obj;G_time;solver_obj;solver_time
J072-T12-G024-U1-SC1-D1-0020;0,743433;0,995225;0,493330;0,227329;0,592786;0,743433;0,493330;0,089200;0,232253;0,331651;0,436096;57,671704;0,464147;0,361462;0,073873;-13,357680;2,363225;0;247591,163852;60,370052;253215,346409;0,263531;262743,763612;2,327434;249801,942824;0,955379;245000,133166;0,550526
J072-T12-G024-U1-SC1-D1-0021;0,761284;1,002513;0,516332;0,218642;0,611254;0,761284;0,516332;0,089506;0,233308;0,333620;0,433072;56,975571;0,426261;0,419638;0,098371;0,783644;2,552279;3;228895,305933;60,096044;233560,635624;0,244433;230522,150375;2,255486;228822,427938;0,958034;225127,042724;0,754946
J072-T12-G024-U1-SC1-D1-0022;0,763331;1,016795;0,520049;0,220982;0,620056;0,763331;0,526841;0,083654;0,241502;0,329277;0,429221;55,355062;0,389480;0,360131;0,076748;0,675143;2,389185;0;208182,650640;55,253396;213648,756037;0,230145;208979,245528;2,302446;209112,105292;1,000108;205403,276146;0,790854
J072-T12-G024-U1-SC1-D1-0023;0,682397;0,898386;0,443410;0,203261;0,551530;0,682397;0,472050;0,078849;0,232489;0,336703;0,430808;50,760796;0,443958;0,398308;0,086864;0,778921;2,445336;0;219938,049746;70,797415;225654,459797;0,254469;220864,256322;2,603758;221530,725239;1,002877;217507,333230;0,499666
J072-T12-G024-U1-SC1-D1-0024;0,636636;0,886966;0,404139;0,197951;0,509403;0,636636;0,433197;0,076720;0,226816;0,344022;0,429162;48,853197;0,455731;0,450048;0,076175;1,942618;2,651205;0;210129,875089;69,142045;215740,207847;0,265457;211721,306283;2,405470;211630,043813;1,010989;208592,290957;0,577423
J072-T12-G024-U1-SC1-D1-0025;0,727637;0,982264;0,490881;0,219288;0,585812;0,727637;0,501097;0,082611;0,234365;0,329919;0,435716;55,167517;0,364070;0,412047;0,091417;1,290348;2,712956;0;241640,983800;68,778796;246776,500710;0,264162;244687,760415;2,348562;245347,076789;0,960504;237795,536833;0,737030
J072-T12-G024-U1-SC1-D1-0026;0,744926;1,003822;0,474474;0,235661;0,591140;0,744926;0,486134;0,092731;0,228179;0,336254;0,435567;58,538924;0,499107;0,460910;0,113791;0,831558;2,545082;0;209862,857718;54,628196;214621,029792;0,228414;210669,105189;2,298733;210092,947955;1,093239;205699,794270;1,413223
J072-T12-G024-U1-SC1-D1-0027;0,759371;1,053860;0,500222;0,237495;0,606950;0,759371;0,512782;0,092588;0,232955;0,332563;0,434482;57,983322;0,414070;0,319034;0,078218;0,406899;2,344229;3;251647,376433;51,932161;256100,746538;0,222750;254337,535161;2,460910;249365,572619;1,329541;244046,968089;1,630644
J072-T12-G024-U1-SC1-D1-0028;0,760845;1,003125;0,505434;0,227685;0,612080;0,760845;0,519328;0,087484;0,238490;0,327993;0,433517;57,184828;0,518361;0,313619;0,084124;4,694526;2,261971;0;229200,306966;59,720414;233903,323024;0,303651;239781,553279;2,245739;232158,504464;0,940023;227069,547747;0,822802
J072-T12-G024-U1-SC1-D1-0029;0,713316;0,951032;0,493768;0,207106;0,578444;0,713316;0,501689;0,080535;0,235365;0,335480;0,429154;52,044427;0,449433;0,452421;0,097749;0,490536;2,539896;0;214665,277249;70,394337;220862,085703;0,260114;216353,009360;2,444206;215257,128002;1,013338;211757,557204;0,918507
J072-T12-G024-U1-SC1-D1-0030;0,735991;0,985712;0,484847;0,216516;0,597931;0,735991;0,519809;0,079258;0,235424;0,330816;0,433761;54,803128;0,327403;0,387834;0,060785;1,188050;2,380760;0;220434,195805;64,488709;225864,426242;0,265650;222127,289180;2,385137;222292,772270;0,992106;216245,075191;0,631298
J072-T12-G024-U1-SC1-D1-0031;0,749180;1,007788;0,476223;0,235764;0,595364;0,749180;0,502937;0,090754;0,228924;0,332289;0,438786;59,510538;0,370260;0,267471;0,066116;0,710471;2,286238;0;266703,713999;58,707816;275241,250808;0,253829;269998,054732;2,363084;268171,758564;1,002719;262761,274387;0,747990
J072-T12-G024-U1-SC1-D1-0032;0,733900;0,981950;0,482657;0,222440;0,590172;0,733900;0,507782;0,083997;0,230632;0,333297;0,436072;56,146126;0,468408;0,450366;0,072201;5,472551;2,528766;0;206188,507181;65,069013;213286,145564;0,255504;207976,194765;2,418649;207809,221971;1,042536;203771,236162;1,133970
J072-T12-G024-U1-SC1-D1-0033;0,675446;0,929101;0,462277;0,199114;0,548692;0,675446;0,477750;0,075540;0,238515;0,331749;0,429736;48,835223;0,507676;0,524992;0,103232;0,860269;2,821662;0;188828,471163;70,133482;195172,837457;0,284482;189634,425746;2,382747;189695,285667;1,028390;186453,703498;0,922535
J072-T12-G024-U1-SC1-D1-0034;0,732793;0,985041;0,483046;0,223681;0,585247;0,732793;0,483046;0,089680;0,232613;0,333131;0,434256;55,757818;0,466016;0,313801;0,076169;0,708070;2,218628;0;231476,573520;61,759996;237874,167981;0,271584;234038,494455;2,281645;233889,077129;0,962315;229232,587089;0,627277
J072-T12-G024-U1-SC1-D1-0035;0,710102;0,961088;0,484076;0,210919;0,569391;0,710102;0,495016;0,080073;0,232368;0,326291;0,441340;55,321430;0,371605;0,478193;0,093698;0,537377;2,523977;0;180319,601449;75,489126;185019,282164;0,340169;181441,818500;2,445863;181948,120304;0,987605;178077,609323;0,897205
J072-T12-G024-U1-SC1-D1-0036;0,675185;0,883362;0,462602;0,183819;0,555669;0,675185;0,490722;0,069068;0,248754;0,325095;0,426152;46,501374;0,419627;0,366688;0,089259;0,602430;2,375375;0;226595,631856;74,430119;234728,584656;0,302360;228847,745996;2,469080;227506,205397;1,030000;224644,180447;0,690107
J072-T12-G024-U1-SC1-D1-0037;0,864053;1,163158;0,598913;0,248188;0,697131;0,864053;0,598913;0,098787;0,235352;0,335026;0,429623;63,880652;0,339922;0,410940;0,079061;0,368519;2,588791;3;229863,014169;41,341007;251952,273363;0,332905;222306,968704;3,307358;220765,661048;0,967629;213329,515134;1,207775
J072-T12-G024-U1-SC1-D1-0038;0,749688;0,981924;0,494508;0,218724;0,617308;0,749688;0,532206;0,076405;0,243040;0,327867;0,429092;52,777237;0,456792;0,397043;0,082824;0,750274;2,539327;0;204427,595736;73,456900;210991,130740;0,437451;208067,895093;2,269897;207163,851277;0,974988;201662,576728;1,147938
J072-T12-G024-U1-SC1-D1-0039;0,754922;0,993532;0,517790;0,215965;0,615083;0,754922;0,528712;0,081393;0,242167;0,325334;0,432499;54,277054;0,377913;0,322919;0,083347;0,702326;2,350718;0;241745,814839;68,085719;246618,705568;0,260739;243678,623768;2,581348;242851,965397;1,428540;238818,743144;0,746202
J072-T12-G024-U1-SC1-D1-0040;0,653520;0,876186;0,421854;0,193837;0,530689;0,653520;0,455675;0,070435;0,232421;0,332472;0,435107;48,970187;0,395401;0,364384;0,081805;0,419220;2,314329;0;212973,230859;78,209002;215821,382354;0,267384;214147,045941;2,994038;213840,578425;1,339435;212408,040221;0,531580
J072-T12-G024-U1-SC1-D1-0041;0,848514;1,119973;0,570493;0,240146;0,695916;0,848514;0,607948;0,087377;0,242507;0,324741;0,432752;60,331043;0,355715;0,294239;0,062670;0,476035;2,293714;2;278175,941758;43,727384;281099,655418;0,315052;269893,192807;2,257305;270316,073672;1,105440;258888,479410;1,487698
J072-T12-G024-U1-SC1-D1-0042;0,606444;0,809275;0,377816;0,188220;0,487977;0,606444;0,418160;0,071200;0,235387;0,331455;0,433159;45,622896;0,374370;0,337378;0,089190;0,633363;2,349979;0;242749,277982;83,625373;248733,963230;0,278439;245258,305458;2,854428;244441,230707;1,238376;242321,672444;0,462767
J072-T12-G024-U1-SC1-D1-0043;0,831559;1,119735;0,550146;0,246170;0,664982;0,831559;0,550146;0,102139;0,230202;0,339220;0,430578;62,544307;0,436851;0,381438;0,094278;1,521020;2,384531;2;205121,363613;46,389894;222249,940293;0,292989;204618,884227;2,051133;207915,274162;0,847956;196894,472964;1,136961
J072-T12-G024-U1-SC1-D1-0044;0,794107;1,061914;0,517988;0,231976;0,644221;0,794107;0,554208;0,089957;0,238229;0,335707;0,426064;57,445201;0,358029;0,384999;0,076455;0,456930;2,485733;2;226643,107917;46,468183;231158,572488;0,258211;224207,706835;2,208808;226995,216965;0,891127;218251,287669;1,221724
J072-T12-G024-U1-SC1-D1-0045;0,826629;1,125798;0,528973;0,253437;0,659398;0,826629;0,556342;0,103284;0,224342;0,346419;0,429239;63,034664;0,363323;0,296887;0,064591;0,751960;2,269506;2;300045,779880;40,443954;311211,990201;0,294190;286590,096635;2,095951;290561,438500;0,870530;277691,873375;1,868973
J072-T12-G024-U1-SC1-D1-0046;0,833179;1,103893;0,565446;0,244575;0,675095;0,833179;0,582317;0,093481;0,232970;0,336921;0,430109;61,341322;0,454927;0,386666;0,082175;0,740914;2,518239;2;256380,696098;41,597269;274930,144201;0,252135;250972,138221;2,099379;253781,648055;0,877133;238686,970075;1,048052
J072-T12-G024-U1-SC1-D1-0047;0,687156;0,937189;0,452348;0,217306;0,548007;0,687156;0,470231;0,080980;0,228105;0,332691;0,439204;54,476779;0,530344;0,356928;0,067403;1,435836;2,609843;0;251424,462909;71,856479;258418,016688;0,303273;254869,731110;2,509850;251866,818432;1,065642;250302,668378;0,775927
J072-T12-G024-U1-SC1-D1-0048;0,763427;1,007452;0,503392;0,225980;0,615400;0,763427;0,531605;0,087274;0,235193;0,330724;0,434084;57,287717;0,430709;0,349527;0,086946;0,640696;2,331216;3;217686,623356;61,078238;218626,976773;0,284767;218365,789544;2,401853;217157,726869;0,966581;212423,497154;1,472067
J072-T12-G024-U1-SC1-D1-0049;0,865704;1,143968;0,578644;0,252663;0,708007;0,865704;0,614178;0,093988;0,237541;0,333662;0,428797;61,516118;0,384824;0,334249;0,083876;0,868868;2,316185;2;265879,303380;40,843862;281675,380173;0,298078;249911,912701;2,053768;250011,042169;0,888255;239476,160670;1,659534
J072-T12-G024-U1-SC1-D1-0050;0,721599;0,969086;0,453103;0,218911;0,582171;0,721599;0,503599;0,079063;0,232631;0,329344;0,438024;55,483745;0,487344;0,423507;0,108507;2,206189;2,599268;0;216906,886999;69,522084;223396,265086;0,271465;218841,216961;2,473955;218347,055297;1,112446;215644,109482;0,792879
J072-T12-G024-U1-SC1-D1-0051;0,844133;1,124290;0,561232;0,242488;0,684626;0,844133;0,593382;0,095312;0,234683;0,332842;0,432476;61,367240;0,388045;0,403629;0,079393;0,615095;2,626198;2;244380,575936;44,983543;250891,131001;0,275474;242251,978552;2,075735;247384,663134;0,855082;232460,125404;1,599689
J072-T12-G024-U1-SC1-D1-0052;0,738273;0,982390;0,510972;0,208055;0,609429;0,738273;0,531224;0,075715;0,241622;0,335824;0,422554;50,934795;0,389437;0,328300;0,083603;0,522095;2,277439;0;225137,997218;68,448577;231975,575551;0,280966;228451,436028;2,434947;227428,313193;1,395348;223364,570501;0,714094
J072-T12-G024-U1-SC1-D1-0053;0,694873;0,926277;0,443833;0,212369;0,563033;0,694873;0,483385;0,076549;0,239260;0,324970;0,435770;51,722959;0,474083;0,473168;0,093055;0,648021;3,031945;0;213126,677127;74,560846;219947,306823;0,252104;213823,214776;2,677133;215511,955069;1,374357;211495,117212;0,808840
J072-T12-G024-U1-SC1-D1-0054;0,759703;1,011312;0,486073;0,228603;0,614283;0,759703;0,522688;0,087872;0,233355;0,335454;0,431191;56,531632;0,416480;0,358366;0,090582;2,461143;2,379392;0;238074,875849;60,041147;241196,760753;0,289687;242619,687678;2,345068;239589,653528;1,042188;234505,230141;1,697201
J072-T12-G024-U1-SC1-D1-0055;0,806479;1,076168;0,504537;0,244087;0,649516;0,806479;0,553554;0,094217;0,230372;0,340641;0,428987;60,681626;0,389336;0,355177;0,083348;0,474726;2,501265;2;243953,230766;45,566104;249778,197288;0,242202;242150,482102;2,173534;243080,411606;0,918828;234439,388196;1,020281
J072-T12-G024-U1-SC1-D1-0056;0,738838;1,008505;0,477191;0,231386;0,583528;0,738838;0,477191;0,094694;0,229382;0,337037;0,433581;58,461922;0,405076;0,364731;0,083817;0,588854;2,347016;0;226417,984396;62,204626;230190,895624;0,273434;227697,597352;2,405819;226843,214698;0,997750;225140,064656;0,652227
J072-T12-G024-U1-SC1-D1-0057;0,823867;1,107834;0,521700;0,250545;0,653196;0,823867;0,521700;0,102472;0,231999;0,332319;0,435682;64,462648;0,390724;0,378627;0,086781;1,606121;2,604266;3;241756,429884;47,524778;265552,872791;0,270722;240657,153997;2,091643;238342,294557;0,900091;231484,365329;1,253618
J072-T12-G024-U1-SC1-D1-0058;0,682376;0,901333;0,453715;0,194029;0,551864;0,682376;0,468156;0,078606;0,232886;0,340520;0,426594;49,680539;0,408494;0,329926;0,078380;1,857761;2,288572;0;217961,737052;80,264005;222033,916315;0,263692;218860,012236;2,625130;218450,353408;1,040941;215799,598684;0,503660
J072-T12-G024-U1-SC1-D1-0059;0,660715;0,891647;0,432529;0,198309;0,528940;0,660715;0,448128;0,079471;0,230733;0,336823;0,432443;50,320470;0,537849;0,356216;0,089152;1,214504;2,361385;0;233204,558405;78,575650;237120,794045;0,261511;234383,651688;3,015523;234741,847031;1,196338;232692,723497;0,621344
J072-T12-G024-U1-SC1-D1-0060;0,677205;0,897279;0,461262;0,201273;0,544839;0,677205;0,466758;0,080090;0,231981;0,338006;0,430013;50,343206;0,507443;0,410199;0,082828;0,935423;2,476536;0;223294,785728;74,430464;227048,731769;0,270467;225334,322309;2,489658;225612,942269;1,040636;222273,731338;0,657209
J072-T12-G024-U1-SC1-D1-0061;0,825699;1,114489;0,555634;0,244481;0,663016;0,825699;0,565613;0,096322;0,232864;0,331574;0,435562;62,529927;0,404741;0,321851;0,078069;1,556795;2,327940;2;232076,188910;43,058230;241017,572547;0,295707;224790,456897;2,100520;230059,022848;0,857564;218790,809829;0,839758
J072-T12-G024-U1-SC1-D1-0062;0,754035;1,014911;0,508574;0,232307;0,601883;0,754035;0,518802;0,088441;0,233345;0,325362;0,441294;59,066031;0,405446;0,333522;0,063667;0,465634;2,277752;3;250488,467057;57,776251;255478,663995;0,262001;250979,975599;2,365087;248298,343515;1,004966;243815,566367;1,957737
J072-T12-G024-U1-SC1-D1-0063;0,809901;1,082182;0,541076;0,242940;0,650529;0,809901;0,561037;0,093142;0,234163;0,328742;0,437096;62,010552;0,304714;0,408354;0,112622;0,482968;2,524524;0;216382,332548;46,991528;220301,311616;0,257474;217287,824518;2,115768;217224,680340;0,872213;207831,790825;1,282709
J072-T12-G024-U1-SC1-D1-0064;0,630613;0,837234;0,429450;0,186431;0,508158;0,630613;0,434590;0,072997;0,233313;0,336087;0,430599;46,878862;0,513015;0,355592;0,081388;1,006706;2,380301;0;222545,341778;75,813803;230149,462447;0,260453;224620,628751;2,515215;224969,171760;1,076812;221836,338804;0,618351
J072-T12-G024-U1-SC1-D1-0065;0,765806;1,044217;0,508354;0,227014;0,618009;0,765806;0,526945;0,088468;0,234024;0,335725;0,430251;56,642968;0,407094;0,432423;0,078332;0,626726;2,650597;0;223479,604966;54,981435;233624,795815;0,241456;225661,550322;2,223065;225886,849202;1,004938;219559,371580;0,990324
J072-T12-G024-U1-SC1-D1-0066;0,745535;0,992205;0,488391;0,229408;0,589992;0,745535;0,488391;0,093058;0,228717;0,333938;0,437346;59,070698;0,479773;0,398193;0,086108;1,591633;2,490399;0;229010,784227;61,900725;232111,236368;0,274418;231487,811540;2,484430;229506,889268;1,002907;226771,327555;0,880648
J072-T12-G024-U1-SC1-D1-0067;0,741135;0,985247;0,461747;0,227816;0,600922;0,741135;0,514986;0,080747;0,240382;0,322358;0,437260;55,595190;0,418694;0,369133;0,081161;0,726395;2,750498;0;219595,983488;61,918745;223914,681835;0,281831;221437,799710;2,528045;221321,995259;0,966744;215110,955388;1,179836
J072-T12-G024-U1-SC1-D1-0068;0,731234;0,951099;0,502721;0,209578;0,598494;0,731234;0,519435;0,079651;0,238014;0,335248;0,426738;51,613108;0,476547;0,346416;0,073737;1,086684;2,324216;0;254628,805043;70,574082;260757,458095;0,248663;256541,609333;2,682580;255775,673174;1,160648;252610,963778;0,683176
J072-T12-G024-U1-SC1-D1-0069;0,609921;0,835398;0,392209;0,183339;0,489174;0,609921;0,407090;0,070474;0,238073;0,328979;0,432947;46,406936;0,627294;0,349310;0,085809;1,713228;2,328980;0;212373,720670;78,509487;217150,359176;0,289030;214292,427216;2,598998;213915,968510;1,050556;211879,495296;0,680149
J072-T12-G024-U1-SC1-D1-0070;0,788114;1,034632;0,538611;0,225581;0,637321;0,788114;0,538611;0,091214;0,235292;0,338165;0,426543;57,183411;0,453743;0,375236;0,094942;0,970297;2,276674;0;223924,314713;50,700089;229846,291537;0,255173;224172,415253;2,449151;224831,058192;0,966705;219169,599538;1,127989
J072-T12-G024-U1-SC1-D1-0071;0,752852;1,007496;0,493852;0,223059;0,605795;0,752852;0,511831;0,088734;0,235619;0,331327;0,433054;56,017668;0,486816;0,340533;0,074139;0,854544;2,323537;0;232719,871160;58,586642;237671,351523;0,279337;236218,559241;2,537352;233364,777599;1,014234;230567,060682;0,696106
J072-T12-G024-U1-SC1-D1-0072;0,775275;1,027095;0,518824;0,226352;0,631958;0,775275;0,548859;0,084179;0,239601;0,328744;0,431655;55,900744;0,391451;0,481858;0,094995;1,368254;2,896603;0;200493,497578;50,432570;208163,114918;0,247285;201824,907043;2,336627;202267,381971;0,947089;196263,086685;1,791216
J072-T12-G024-U1-SC1-D1-0073;0,742169;0,982404;0,481297;0,218413;0,599242;0,742169;0,498212;0,086910;0,236789;0,334858;0,428353;54,196840;0,427088;0,474186;0,082037;0,905214;3,043127;0;211514,554450;73,062436;216737,447120;0,257050;214161,133448;2,799277;212920,102730;1,288269;208464,398264;0,919510
J072-T12-G024-U1-SC1-D1-0074;0,809829;1,089714;0,547551;0,238916;0,659162;0,809829;0,572397;0,087316;0,238356;0,327232;0,434412;59,291116;0,414466;0,395375;0,079324;0,596165;2,667213;0;247399,483367;52,377573;249760,745678;0,294469;248103,301255;2,371825;247829,661230;0,927481;240458,364650;1,098063
J072-T12-G024-U1-SC1-D1-0075;0,711027;0,946632;0,483207;0,206700;0,574275;0,711027;0,483207;0,082267;0,237501;0,336708;0,425791;51,807280;0,462041;0,361900;0,087707;1,060868;2,405954;0;244151,564974;72,530850;248490,311170;0,277542;245918,759889;2,639259;244799,908279;1,391783;241608,603875;0,681810
J072-T12-G024-U1-SC1-D1-0076;0,753255;1,025406;0,494761;0,229758;0,600665;0,753255;0,494761;0,091549;0,230629;0,338317;0,431054;58,046983;0,438428;0,345400;0,078262;0,883393;2,379417;3;245717,759376;58,123265;249002,303044;0,276665;246392,741627;2,516201;244813,374468;1,200314;241056,848342;1,190819
J072-T12-G024-U1-SC1-D1-0077;0,709530;0,946183;0,456432;0,209516;0,567451;0,709530;0,456432;0,086675;0,235875;0,335280;0,428846;53,223451;0,344913;0,422119;0,088960;0,495192;2,517581;3;209536,638160;70,301942;213976,695610;0,346070;210732,165224;2,524546;208802,843597;1,070180;207492,880792;0,786898
J072-T12-G024-U1-SC1-D1-0078;0,710985;0,962147;0,464419;0,214047;0,575121;0,710985;0,497324;0,082592;0,237224;0,332477;0,430299;51,841502;0,453120;0,416600;0,072712;0,958577;2,829473;0;228308,565418;73,772173;235203,511785;0,268933;230857,752161;2,661481;230015,420094;1,191155;225900,085394;0,783907
J072-T12-G024-U1-SC1-D1-0079;0,743711;0,991258;0,505966;0,211272;0,600965;0,743711;0,505966;0,085913;0,235211;0,337392;0,427396;54,047667;0,519416;0,378352;0,071839;0,817258;2,489059;0;261696,696300;66,616383;268717,209424;0,274128;263213,671125;2,898231;263185,349760;1,009969;259711,202050;0,867682
J072-T12-G024-U1-SC1-D1-0080;0,699515;0,922331;0,449375;0,215436;0,564003;0,699515;0,482892;0,078166;0,234101;0,327796;0,438103;53,653537;0,505707;0,272688;0,070794;2,905303;2,197101;0;259163,069709;79,071669;264035,129155;0,260673;262311,415835;2,519084;260906,586528;1,290437;258552,707223;0,519032
J072-T12-G024-U1-SC1-D1-0081;0,769522;1,003767;0,527448;0,223480;0,628195;0,769522;0,546525;0,083046;0,237701;0,330962;0,431337;55,555418;0,389082;0,330427;0,067510;0,416831;2,342669;0;252695,571567;53,629907;256024,603218;0,277105;253161,252796;2,471144;253904,039789;0,977934;247693,466142;1,007307
J072-T12-G024-U1-SC1-D1-0082;0,626698;0,804554;0,434829;0,170527;0,511990;0,626698;0,434829;0,069760;0,242529;0,333751;0,423721;43,222811;0,488456;0,359669;0,084535;1,297278;2,442649;0;255298,115735;76,082517;260919,684476;0,272453;256427,082833;2,743265;256846,856506;1,114502;254169,369809;0,419876
J072-T12-G024-U1-SC1-D1-0083;0,840349;1,146748;0,551155;0,254974;0,673506;0,840349;0,580097;0,095751;0,231623;0,332465;0,435913;65,161616;0,438938;0,457714;0,099700;0,990858;2,732157;2;241595,697142;43,343479;265989,152332;0,302185;230903,126420;2,291279;232276,069700;0,928680;223652,565019;1,264620
